"";"Num_Acc";"catr";"circ";"nbv";"vosp";"prof";"plan";"surf";"infra";"situ";"vma"
"7384";"202100007384";"3";"2";"2";"0";"1";"1";"1";"5";"1";"80"
"7385";"202100007385";"4";"2";"2";"0";"1";"1";"1";"0";"1";"50"
"7386";"202100007386";"2";"2";"2";"0";"1";"1";"1";"0";"1";"50"
"7387";"202100007387";"3";"2";"2";"0";"2";"1";"1";"0";"1";"80"
"7388";"202100007388";"2";"3";"4";"0";"1";"1";"2";"0";"2";"110"
"7389";"202100007389";"3";"2";"2";"0";"1";"1";"1";"0";"3";"80"
"7390";"202100007390";"3";"3";"2";"0";"1";"1";"1";"0";"1";"90"
"7391";"202100007391";"3";"2";"2";"0";"1";"1";"1";"0";"1";"90"
"7392";"202100007392";"3";"2";"2";"3";"1";"1";"1";"0";"1";"70"
"7393";"202100007393";"3";"2";"2";"0";"1";"2";"2";"0";"1";"80"
"7394";"202100007394";"3";"2";"2";"0";"1";"1";"1";"0";"3";"70"
"7395";"202100007395";"4";"2";"2";"0";"4";"1";"2";"0";"1";"90"
"7396";"202100007396";"3";"2";"2";"0";"2";"1";"1";"0";"1";"50"
"7397";"202100007397";"3";"2";"2";"0";"1";"1";"1";"0";"3";"80"
"7398";"202100007398";"3";"2";"2";"0";"1";"1";"1";"0";"1";"70"
"7399";"202100007399";"3";"2";"2";"0";"2";"1";"2";"0";"1";"80"
"7400";"202100007400";"3";"3";"2";"0";"1";"3";"1";"0";"1";"50"
"7401";"202100007401";"2";"2";"2";"0";"1";"1";"1";"0";"1";"50"
"7402";"202100007402";"3";"2";"2";"0";"1";"1";"1";"0";"1";"80"
"7403";"202100007403";"2";"2";"2";"0";"2";"2";"2";"0";"3";"110"
"7404";"202100007404";"2";"2";"2";"0";"1";"1";"2";"0";"1";"110"
"7405";"202100007405";"2";"2";"2";"0";"1";"1";"1";"0";"1";"80"
"7406";"202100007406";"7";"3";"4";"0";"1";"1";"1";"0";"3";"110"
"7407";"202100007407";"4";"2";"2";"0";"2";"1";"1";"0";"1";"70"
"7408";"202100007408";"3";"2";"2";"0";"1";"3";"1";"0";"1";"80"
"7409";"202100007409";"4";"2";"2";"0";"4";"2";"2";"0";"8";"50"
"7410";"202100007410";"3";"2";"2";"0";"1";"1";"1";"0";"1";"80"
"7411";"202100007411";"3";"2";"2";"0";"1";"1";"2";"0";"1";"80"
"7412";"202100007412";"3";"2";"2";"0";"2";"1";"1";"0";"8";"80"
"7413";"202100007413";"4";"3";"2";"0";"1";"1";"1";"6";"1";"50"
"7414";"202100007414";"3";"2";"2";"0";"1";"1";"1";"0";"8";"80"
"7415";"202100007415";"3";"3";"2";"0";"1";"2";"1";"0";"3";"80"
"7416";"202100007416";"3";"2";"2";"0";"1";"1";"1";"0";"1";"80"
"7417";"202100007417";"3";"2";"2";"0";"1";"1";"1";"0";"1";"80"
"7418";"202100007418";"3";"2";"2";"0";"3";"3";"1";"5";"1";"50"
"7419";"202100007419";"4";"2";"2";"0";"2";"1";"2";"0";"3";"80"
"7420";"202100007420";"1";"1";"3";"0";"2";"2";"1";"0";"1";"90"
"7421";"202100007421";"1";"3";"8";"0";"2";"1";"1";"0";"1";"130"
"7422";"202100007422";"1";"3";"4";"0";"1";"1";"1";"0";"1";"130"
"7423";"202100007423";"3";"2";"2";"0";"1";"1";"1";"0";"1";"50"
"7424";"202100007424";"1";"3";"2";"0";"2";"1";"1";"0";"1";"90"
"7425";"202100007425";"1";NA;"1";"0";"1";"3";"1";"1";"1";"50"
"7426";"202100007426";"1";NA;"2";"0";"1";"1";"1";"0";"1";"70"
"7427";"202100007427";"1";"3";"7";"0";"1";"1";"1";"0";"1";"110"
"7428";"202100007428";"1";"3";"7";"0";"1";"1";"1";"0";"1";"90"
"7429";"202100007429";"1";NA;"5";"0";"1";"1";"1";"0";"1";"90"
"7430";"202100007430";"1";"1";"4";"0";"1";"1";"1";"0";"1";"110"
"7431";"202100007431";"4";"2";"5";"1";"1";"1";"1";NA;"5";"50"
"7432";"202100007432";"4";"1";"4";"0";"1";"1";"1";"0";"1";"70"
"7433";"202100007433";"4";NA;"1";"0";"1";"1";"1";"0";"1";"30"
"7434";"202100007434";"4";"2";"4";"1";"2";"1";"1";NA;"5";"30"
"7435";"202100007435";"4";"2";"2";"0";"2";"1";"1";"0";"1";"30"
"7436";"202100007436";"4";NA;"2";"0";"1";"1";"1";"0";"1";"30"
"7437";"202100007437";"4";"2";"4";"1";"2";"1";"1";NA;"5";"30"
"7438";"202100007438";"4";NA;"2";"0";"1";"1";"1";"0";"1";"30"
"7439";"202100007439";"4";"1";"1";"3";"1";"1";"1";"0";"1";"30"
"7440";"202100007440";"4";"2";"3";"1";"1";"1";"1";NA;"5";"30"
"7441";"202100007441";"4";"1";"2";"0";"1";"1";"1";NA;"5";"50"
"7442";"202100007442";"4";"1";"2";"1";"1";"1";"1";"8";"1";"30"
"7443";"202100007443";"4";"1";"3";"3";"1";"1";"1";"0";"1";"30"
"7444";"202100007444";"4";"2";"2";"2";"3";"1";"1";"0";"1";"30"
"7445";"202100007445";"4";"2";"4";"0";"1";"1";"1";"0";"1";"30"
"7446";"202100007446";"4";"1";"2";"0";"1";"2";"1";"0";"1";"30"
"7447";"202100007447";"4";NA;"1";"3";"2";"1";"1";"6";"1";"30"
"7448";"202100007448";"4";"1";"2";"3";"1";"1";"1";NA;"6";"30"
"7449";"202100007449";"3";"2";"0";"0";"1";"1";"1";"0";"1";"30"
"7450";"202100007450";"3";"2";"2";"0";"1";"1";"1";"8";"1";"30"
"7451";"202100007451";"3";"2";"2";"0";"1";"1";"1";"0";"1";"50"
"7452";"202100007452";"3";"1";"1";"1";"3";"2";"1";"5";"5";"50"
"7453";"202100007453";"9";"1";"2";"0";"1";"1";"1";"0";"1";"30"
"7454";"202100007454";"4";"2";"2";"0";"3";"1";"1";"9";"1";"50"
"7455";"202100007455";"3";"1";"2";"0";"1";"1";"1";"0";"1";"50"
"7456";"202100007456";"4";"2";"1";"0";"1";"1";"1";"0";"1";"50"
"7457";"202100007457";"4";"1";"1";"0";"1";"1";"2";"0";"1";"50"
"7458";"202100007458";"3";"1";"2";"1";"1";"1";"1";"0";"1";"50"
"7459";"202100007459";"3";"2";"2";"0";"1";"1";"1";"5";"1";"50"
"7460";"202100007460";"4";"1";"2";"0";"1";"1";"1";"0";"1";"50"
"7461";"202100007461";"3";"2";"2";"0";"2";"1";"1";"6";"1";"50"
"7462";"202100007462";"3";"2";"2";"0";"2";"1";"1";"0";"1";"50"
"7463";"202100007463";"3";"3";"5";"1";"1";"1";"1";"0";"1";"50"
"7464";"202100007464";"4";"1";"1";"0";"1";"3";"1";"0";"1";"50"
"7465";"202100007465";"3";"2";"3";"1";"1";"1";"1";"0";"1";"50"
"7466";"202100007466";"3";"2";"2";"0";"1";"1";"1";"9";"4";"30"
"7467";"202100007467";"3";"2";"3";"0";"1";"1";"1";"0";"1";"50"
"7468";"202100007468";"3";"2";"2";"0";"2";"3";"1";"0";"1";"50"
"7469";"202100007469";"3";"1";"2";"3";"1";"1";"1";"0";"1";"50"
"7470";"202100007470";"3";"2";"0";"0";"1";"1";"1";"0";"1";"50"
"7471";"202100007471";"3";"2";"0";"2";"1";"1";"1";"0";"1";"50"
"7472";"202100007472";"4";"2";"2";"0";"1";"1";"1";"0";"4";"50"
"7473";"202100007473";"4";"2";"2";"0";"2";"1";"1";"0";"1";"30"
"7474";"202100007474";"3";"2";"2";"0";"2";"2";"1";"0";"3";"90"
"7475";"202100007475";"3";NA;"2";"0";"1";"1";"1";"0";"1";"30"
"7476";"202100007476";"3";"2";"2";"0";"2";"2";"1";"0";"1";"80"
"7477";"202100007477";"1";"1";"4";"0";"4";"2";"1";"0";"1";"130"
"7478";"202100007478";"3";"2";"2";"0";"1";"3";"2";"0";"1";"50"
"7479";"202100007479";"3";"2";"2";"0";"4";"1";"1";"0";"3";"80"
"7480";"202100007480";"3";"2";"3";"0";"1";"1";"1";"0";"1";"90"
"7481";"202100007481";"2";"2";"2";"0";"1";"1";"1";"0";"1";"80"
"7482";"202100007482";"3";"2";"2";"0";"1";"1";"2";"9";"3";"80"
"7483";"202100007483";"3";"2";"2";"0";"2";"3";"1";"0";"1";"90"
"7484";"202100007484";"3";"2";"2";"0";"1";"2";"1";"0";"1";"80"
"7485";"202100007485";"3";"2";"2";"0";"2";"4";"1";"0";"3";"80"
"7486";"202100007486";"3";"2";"2";"0";"1";"1";"6";"0";"1";"80"
"7487";"202100007487";"3";"2";"2";"0";"1";"2";"1";"5";"1";"80"
"7488";"202100007488";"3";"2";"2";"0";"1";"1";"2";"9";"1";"50"
"7489";"202100007489";"3";"2";"2";"0";"1";"1";"1";"0";"1";"90"
"7490";"202100007490";"3";"2";"2";"0";"1";"1";"1";"0";"1";"70"
"7491";"202100007491";"3";"2";"2";"1";"1";"1";"2";"0";"1";"90"
"7492";"202100007492";"3";"2";"1";"0";"1";"1";"1";"0";"3";"80"
"7493";"202100007493";"3";"2";"2";"0";"1";"1";"1";"5";"1";"50"
"7494";"202100007494";"3";"2";"2";"0";"1";"1";"1";"0";"1";"80"
"7495";"202100007495";"3";"2";"2";"0";"1";"2";"1";"0";"1";"80"
"7496";"202100007496";"3";"2";"2";"0";"1";"1";"1";"0";"3";"80"
"7497";"202100007497";"3";"2";"2";"0";"1";"3";"1";"0";"1";"80"
"7498";"202100007498";"3";"2";"2";"0";"2";"1";"2";"0";"1";"50"
"7499";"202100007499";"3";"2";"2";"0";"1";"1";"1";"5";"1";"50"
"7500";"202100007500";"3";"2";"2";"0";"1";"1";"1";"0";"1";"50"
"7501";"202100007501";"3";"2";"2";"0";"1";"1";"1";"0";"3";"80"
"7502";"202100007502";"3";"2";"2";"0";"1";"2";"1";"0";"3";"80"
"7503";"202100007503";"3";"2";"2";"0";"1";"1";"1";"0";"1";"90"
"7504";"202100007504";"3";"2";"2";"0";"1";"1";"1";"0";"1";"80"
"7505";"202100007505";"1";"4";"2";"0";"1";"1";"1";"0";"1";"110"
"7506";"202100007506";"7";"2";"2";"0";"1";"1";"1";"0";"1";"90"
"7507";"202100007507";"1";"1";"4";"0";"1";"1";"1";"0";"1";"130"
"7508";"202100007508";"1";NA;"4";"3";"3";"1";"1";"0";"1";"130"
"7509";"202100007509";"3";"2";"2";"0";"4";"1";"1";"0";"1";"90"
"7510";"202100007510";"2";"3";"4";"0";"1";"1";"1";"0";"1";"90"
"7511";"202100007511";"1";"3";"4";"0";"1";"1";"1";"0";"1";"90"
"7512";"202100007512";"2";"3";"4";"0";"1";"1";"1";"9";"1";"60"
"7513";"202100007513";"2";"2";"2";"0";"1";"1";"1";"0";"3";"90"
"7514";"202100007514";"4";"2";"2";"0";"1";"1";"1";"0";"1";"50"
"7515";"202100007515";"2";"2";"2";"0";"2";"1";"1";"0";"1";"50"
"7516";"202100007516";"7";"2";"2";"0";"1";"1";"1";"0";"1";"90"
"7517";"202100007517";"3";"2";"2";"0";"1";"2";"2";"0";"8";"70"
"7518";"202100007518";"7";NA;"2";"0";"1";"1";"1";"9";"1";"50"
"7519";"202100007519";"3";"2";"2";"0";"1";"1";"1";"0";"1";NA
"7520";"202100007520";"3";"2";"2";"0";"1";"1";"1";"0";"1";"70"
"7521";"202100007521";"3";"2";"2";"0";"2";"1";"1";"0";"1";NA
"7522";"202100007522";"3";"2";"2";"0";"2";"3";"1";"0";"1";"80"
"7523";"202100007523";"4";"2";"2";"0";"2";"1";"1";"0";"3";NA
"7524";"202100007524";"3";"2";"2";"0";"1";"2";"1";"0";"3";"80"
"7525";"202100007525";"4";"2";"2";"0";"1";"1";"1";"0";"1";"50"
"7526";"202100007526";"7";"2";"2";"0";"2";"1";"1";"0";"1";"70"
"7527";"202100007527";"3";"2";"2";"0";"1";"1";"1";"0";"1";"50"
"7528";"202100007528";"3";"2";"2";"0";"1";"1";"1";"0";"1";"80"
"7529";"202100007529";"4";NA;"2";"0";"1";"1";"1";"0";"1";"50"
"7530";"202100007530";"3";"2";"2";"0";"1";"1";"1";"0";"1";"50"
"7531";"202100007531";"3";"2";"2";"0";"4";"4";"1";"0";"3";"80"
"7532";"202100007532";"3";"2";"2";"0";"1";"1";"2";"0";"1";"80"
"7533";"202100007533";"1";"3";"2";"0";"1";"1";"2";"0";"1";"130"
"7534";"202100007534";"7";"2";"2";"0";"1";"1";"1";"0";"1";"80"
"7535";"202100007535";"1";"3";"3";"0";"1";"1";"1";"0";"1";"90"
"7536";"202100007536";"1";"1";"2";"0";"1";"1";"1";"0";"1";"90"
"7537";"202100007537";"1";"1";"3";"0";"2";"1";"1";"0";"1";"90"
"7538";"202100007538";"1";"1";"3";"0";"1";"1";"1";"1";"1";"70"
"7539";"202100007539";"7";"3";"6";"0";"1";"1";"2";"9";"1";"70"
"7540";"202100007540";"1";"2";"4";"0";"1";"2";"1";"3";"1";"70"
"7541";"202100007541";"2";"1";"2";"0";"2";"1";"1";"0";"1";"90"
"7542";"202100007542";"1";"1";"4";"0";"1";"1";"1";"1";"1";"70"
"7543";"202100007543";"1";NA;"6";"0";"1";"1";"1";"0";"1";"110"
"7544";"202100007544";"2";"1";"3";"0";"1";"1";"1";"0";"1";"90"
"7545";"202100007545";"1";"1";"2";"0";"1";"1";"2";"0";"1";"90"
"7546";"202100007546";"1";NA;"2";"0";"1";"1";"2";"0";"1";"90"
