"Num_Acc";"circ";"nbv";"vma";"surf_gr";"prof_gr";"plan_gr";"infrastructure"
"202100000291";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000292";"3";6;70;"normale";"plat";"rectiligne";"non"
"202100000293";"2";2;30;"normale";"plat";"rectiligne";"non"
"202100000294";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000295";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000296";"1";1;30;"normale";"plat";"rectiligne";"non"
"202100000297";"2";1;50;"normale";"plat";"rectiligne";"non"
"202100000298";"1";2;50;"normale";"plat";"rectiligne";"non"
"202100000299";"3";4;90;"normale";"pente/cote";"rectiligne";"non"
"202100000300";"1";4;70;"normale";"plat";"courbe";"non"
"202100000301";"2";2;80;"normale";"pente/cote";"courbe";"non"
"202100000302";NA;NA;NA;"normale";"plat";"rectiligne";"non"
"202100000303";"3";0;50;"normale";"plat";"rectiligne";"non"
"202100000304";NA;1;10;"normale";"plat";"rectiligne";"oui"
"202100000305";"2";1;50;"normale";"plat";"rectiligne";"non"
"202100000306";"1";2;50;"normale";"plat";"rectiligne";"non"
"202100000307";"2";2;50;"normale";"plat";"courbe";"non"
"202100000308";"2";2;30;"normale";"plat";"rectiligne";"oui"
"202100000309";"2";2;70;"normale";"plat";"rectiligne";"non"
"202100000310";"1";1;90;"normale";"plat";"rectiligne";"oui"
"202100000311";"1";1;50;"normale";"plat";"courbe";"non"
"202100000312";"1";1;70;"normale";"pente/cote";"rectiligne";"non"
"202100000313";"2";3;70;"normale";"plat";"rectiligne";"non"
"202100000314";"2";1;70;"normale";"plat";"rectiligne";"oui"
"202100000315";"1";1;50;"normale";"pente/cote";"courbe";"non"
"202100000316";"2";4;50;"normale";"plat";"rectiligne";"non"
"202100000317";"1";4;50;"normale";"plat";"courbe";"non"
"202100000318";"1";1;50;"normale";"plat";"courbe";"non"
"202100000319";"1";2;50;"normale";"plat";"rectiligne";"non"
"202100000320";"1";2;50;"normale";"pente/cote";"courbe";"oui"
"202100000321";"1";2;50;"normale";"pente/cote";"rectiligne";"non"
"202100000322";"1";2;50;NA;"plat";"rectiligne";"non"
"202100000323";"2";2;80;"normale";"plat";"rectiligne";"non"
"202100000324";"2";NA;80;"normale";"plat";"rectiligne";"non"
"202100000325";"2";NA;50;NA;"plat";"rectiligne";"non"
"202100000326";"2";2;50;"normale";"plat";"rectiligne";"oui"
"202100000327";"2";2;NA;NA;"plat";"rectiligne";"non"
"202100000328";"1";2;50;"normale";"plat";"rectiligne";"non"
"202100000329";"2";2;30;"risquée";"pente/cote";"rectiligne";"non"
"202100000330";"2";2;90;"risquée";"pente/cote";"rectiligne";"non"
"202100000331";"2";2;50;"risquée";"plat";"rectiligne";"non"
"202100000332";"2";2;80;"normale";"plat";"rectiligne";"non"
"202100000333";"1";1;80;"risquée";"pente/cote";"courbe";"oui"
"202100000334";"2";NA;NA;"normale";"plat";"rectiligne";"oui"
"202100000335";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000336";"2";2;80;"normale";"plat";"rectiligne";"non"
"202100000337";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000338";"3";4;50;"normale";"pente/cote";"rectiligne";"non"
"202100000339";"3";8;70;"normale";"plat";"rectiligne";"non"
"202100000340";"1";0;50;"normale";"plat";"rectiligne";"non"
"202100000341";"2";2;80;"normale";"plat";"courbe";"non"
"202100000342";"3";4;90;"risquée";"plat";"rectiligne";"non"
"202100000343";"1";3;70;"normale";"plat";"rectiligne";"oui"
"202100000344";"1";2;50;"normale";"plat";"rectiligne";"oui"
"202100000345";"1";4;70;"normale";"plat";"rectiligne";"oui"
"202100000346";"2";2;50;"normale";"plat";"rectiligne";"non"
